Operator,Description,Parameters
RN,Railroad Name,MUTT II
TN,Train Name,Basin St Switcher
TM,Train Manifest Description,
PRNTR,Printer Name,
VT,Valid,1/17/1915 06:50
LN,Location Name,MUTT
DT,Departure Time,00:00
PL,Pick up loco,MUTT,492,A4,40,ESS,,MUTT,South Yard,MUTT,South Yard,,,,,,
PC,Pick up car,PRR,3990,TPO,40,Empty,Generic,MUTT,South Yard,Basin Street,4th St Pier,,,,,,,,,,,,,0,,,empty
PC,Pick up car,AT&SF,5337,FP3,40,Empty,Generic,MUTT,South Yard,Basin Street,4th St Pier,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PL,44011,XPP,40,Produce,Generic,MUTT,South Yard,Basin Street,Basin St Stores,,,,,,,,,,,,,0,,,load
PC,Pick up car,FGEX,3597,RP3,40,Produce,Generic,MUTT,South Yard,Basin Street,Basin St Stores,,,,,,,,,,,,,0,,,load
PC,Pick up car,ER,2050,XP3,40,Empty,Generic,MUTT,South Yard,Basin Street,Coffee Roasters,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PRR,5151,Bd,40,LCL,Generic,MUTT,South Yard,Basin Street,Express,,,,,,,,,,,,,0,,,load
PC,Pick up car,PRR,5150,Bd,40,LCL,Generic,MUTT,South Yard,Basin Street,Express,,,,,,,,,,,,,0,,,load
PC,Pick up car,PL,6762,FP3,40,boiler2,Generic,MUTT,South Yard,Basin Street,Gantry,,,,,,,,,,,,,0,,,load
PC,Pick up car,B&O,6992,FP4,40,crate large,Generic,MUTT,South Yard,Basin Street,Gantry,,,,,,,,,,,,,0,,,load
PC,Pick up car,FGEX,9489,RP3,40,Empty,Generic,MUTT,South Yard,Basin Street,Mother Schuckers,,,,,,,,,,,,,0,,,empty
PC,Pick up car,FGEX,5751,RP3,40,Empty,Generic,MUTT,South Yard,Basin Street,Mother Schuckers,,,,,,,,,,,,,0,,,empty
PC,Pick up car,M&P,8833,XP3,40,Empty,Generic,MUTT,South Yard,Basin Street,Tea,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PRR,02,NPD,40,E,Generic,MUTT,South Yard,MUTT,South Yard,,,,,,C,,,,,,,0,,,Empty
TD,Train Departs,MUTT,East
TL,Train Length Empties Cars,616,1,13
TW,Train Weight,36
LN,Location Name,Basin Street
AT,Arrival Time,00:04
EDT,Estimated Departure Time,01:28
PC,Pick up car,NYNH&H,9743,GPx,40,Empty,Generic,Basin Street,Gantry,Basin Street,4th St Pier,,,,,,,,,,,,,0,,,empty
PC,Pick up car,B&A,6470,GPD,40,Empty,Generic,Basin Street,Gantry,Basin Street,Bulk Material Wharf,,,,,,,,,,,,,0,,,empty
PC,Pick up car,P&R,8715,XP3,40,Break Bulk,Generic,Basin Street,4th St Pier,MUTT,South Yard,,,,,,,,,,,,,0,,,load
PC,Pick up car,PL,3265,XP3,40,Break Bulk,Generic,Basin Street,4th St Pier,MUTT,South Yard,,,,,,,,,,,,,0,,,load
PC,Pick up car,P&R,54488,FP4,40,lumber,Generic,Basin Street,4th St Pier,MUTT,South Yard,,,,,,,,,,,,,0,,,load
PC,Pick up car,PRR,5069,Bdr,40,Empty,Generic,Basin Street,Basin St Stores,MUTT,South Yard,,,,,,,,,,,,,0,,,empty
