Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,12L
TM,Train Manifest Description,Park Local
PRNTR,Printer Name,
VT,Valid,12/14/1938 13:29
TC,Train Comment,"Block: PD, PG, PO, PC, PP, PL, PF",black
LN,Location Name,Train Service
DT,Departure Time,04:30
PL,Pick up loco,PRR,949,H9s,40,ESLF,,Train Service,Roundhouse,Train Service,Roundhouse,,,,,IDith2jnvr6b7p,
PC,Pick up car,PRR,206,NM,40,Occupied,Generic,Train Service,Cabin Track,Train Service,Cabin Track,,,,,,C,,,IDps5kx8aq3xfs,,,,0,,,load
TD,Train Departs,Train Service,East
TL,Train Length Empties Cars,88,0,1
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,04:34
EDT,Estimated Departure Time,05:25
PC,Pick up car,PGCC,1635,HK,40,coal2,Generic,City,OB-Park,Park,Coal,,,,,,,,,IDz0ppd39jt9yj,,,,0,Northton,,load
PC,Pick up car,P&R,1166,HK,40,coal2,Generic,City,OB-Park,Park,Coal,,,,,,,,,ID9k0uz2a2nyy,,,,0,Northton,,load
PC,Pick up car,P&R,2756,XM,40,LCL,Generic,City,OB-Park,Park,Depot,,,,,,,,,IDw9507iscru7z,,,,0,,,load
PC,Pick up car,PRR,7291,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDgztbxdxu9om8,,,,0,,,load
PC,Pick up car,WJ&S,3080,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,ID3usuapsgqwcf,,,,0,,,load
PC,Pick up car,WJ&S,8765,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDntgwmg9ovt74,,,,0,,,load
PC,Pick up car,NYNH&H,8947,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,ID7ypzx57kqrcc,,,,0,,,load
PC,Pick up car,ER,3741,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDr3p1pgcj1wwe,,,,0,,,load
PC,Pick up car,ACL,2039,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDyebvxnwj9kng,,,,0,,,load
PC,Pick up car,B&O,5413,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDdgqxznzhk0wu,,,,0,,,load
PC,Pick up car,B&A,2122,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDw1auyogfvhd8,,,,0,,,load
PC,Pick up car,B&A,2789,FM,40,Tarp3,Generic,City,OB-Park,Park,General Delivery,,,,,,,,,IDntvhvpwj9i11,,,,0,,,load
PC,Pick up car,PRR,6999,FM,40,lumber stack,Generic,City,OB-Park,Park,Lumber,,,,,,,,,IDw1hdp6qf40p2,,,,0,,,load
PC,Pick up car,PGCC,5648,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDa6iqcxz32ogk,,,,0,Northton,,load
PC,Pick up car,B&O,8996,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDpllsmgwgyy76,,,,0,Northton,,load
PC,Pick up car,PGCC,3336,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDgjmbudbdxymw,,,,0,Northton,,load
PC,Pick up car,B&O,8552,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDu1re9eemwpjl,,,,0,Northton,,load
TD,Train Departs,City,East
TL,Train Length Empties Cars,836,0,18
TW,Train Weight,36
LN,Location Name,Park
AT,Arrival Time,05:29
EDT,Estimated Departure Time,07:14
PC,Pick up car,PRR,2886,HK,40,Empty,Generic,Park,Power House,City,Hold 2,,,,,,,,,IDvl5fddy3ru69,,,,0,Northton,,empty
SC,Set out car,PGCC,1635,HK,40,coal2,Generic,City,OB-Park,Park,Coal,,,,,,,,,IDz0ppd39jt9yj,,,,0,Northton,,load
SC,Set out car,P&R,1166,HK,40,coal2,Generic,City,OB-Park,Park,Coal,,,,,,,,,ID9k0uz2a2nyy,,,,0,Northton,,load
SC,Set out car,P&R,2756,XM,40,LCL,Generic,City,OB-Park,Park,Depot,,,,,,,,,IDw9507iscru7z,,,,0,,,load
SC,Set out car,PRR,7291,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDgztbxdxu9om8,,,,0,,,load
SC,Set out car,WJ&S,3080,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,ID3usuapsgqwcf,,,,0,,,load
SC,Set out car,WJ&S,8765,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDntgwmg9ovt74,,,,0,,,load
SC,Set out car,NYNH&H,8947,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,ID7ypzx57kqrcc,,,,0,,,load
SC,Set out car,ER,3741,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDr3p1pgcj1wwe,,,,0,,,load
SC,Set out car,ACL,2039,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDyebvxnwj9kng,,,,0,,,load
SC,Set out car,B&O,5413,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDdgqxznzhk0wu,,,,0,,,load
SC,Set out car,B&A,2122,XM,40,Merchandise,Generic,City,OB-Park,Park,Freight House,,,,,,,,,IDw1auyogfvhd8,,,,0,,,load
SC,Set out car,B&A,2789,FM,40,Tarp3,Generic,City,OB-Park,Park,General Delivery,,,,,,,,,IDntvhvpwj9i11,,,,0,,,load
SC,Set out car,PRR,6999,FM,40,lumber stack,Generic,City,OB-Park,Park,Lumber,,,,,,,,,IDw1hdp6qf40p2,,,,0,,,load
SC,Set out car,PGCC,5648,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDa6iqcxz32ogk,,,,0,Northton,,load
SC,Set out car,B&O,8996,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDpllsmgwgyy76,,,,0,Northton,,load
SC,Set out car,PGCC,3336,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDgjmbudbdxymw,,,,0,Northton,,load
SC,Set out car,B&O,8552,HK,40,coal2,Generic,City,OB-Park,Park,Power House,,,,,,,,,IDu1re9eemwpjl,,,,0,Northton,,load
PC,Pick up car,B&O,6978,HK,40,Empty,Generic,Park,Coal,City,Hold 2,,,,,,,,,IDnduvvjgzbq8t,,,,0,Northton,,empty
PC,Pick up car,WCC,7193,HK,40,Empty,Generic,Park,Coal,City,Hold 2,,,,,,,,,IDyl5olpmmicha,,,,0,Northton,,empty
PC,Pick up car,ACL,7510,XM,40,LCL,Generic,Park,Depot,City,Hold 2,,,,,,,,,IDsljrro2hsprx,,,,0,Downtown,DX,load
PC,Pick up car,CS,5642,XM,40,LCL,Generic,Park,Depot,City,Hold 2,,,,,,,,,IDk2f6xopntka9,,,,0,Downtown,DX,load
PC,Pick up car,ER,9009,XM,40,LCL,Generic,Park,Depot,City,Hold 2,,,,,,,,,IDjrvgsttgawta,,,,0,Downtown,DX,load
PC,Pick up car,B&A,4384,XM,40,Goods,Generic,Park,Freight House,City,Hold 2,,,,,,,,,ID13u64kb81lrt,,,,0,Northton,,load
PC,Pick up car,PRR,8639,XM,40,Goods,Generic,Park,Freight House,City,Hold 2,,,,,,,,,IDe34v9ig5ut0c,,,,0,Northton,,load
PC,Pick up car,NYNH&H,0323,XM,40,Goods,Generic,Park,Freight House,City,Hold 2,,,,,,,,,ID9x8dm22y3dyy,,,,0,Northton,,load
PC,Pick up car,UTLX,9520,TM,40,Empty,Generic,Park,Fuel Oil,City,Hold 2,,,,,,,,,IDeuzvm9a02olu,,,,0,Easton,,empty
PC,Pick up car,PRR,3375,TM,40,Empty,Generic,Park,Fuel Oil,City,Hold 2,,,,,,,,,IDvxv7jidpp4b6,,,,0,Easton,,empty
PC,Pick up car,TCX,2539,TM,40,Empty,Generic,Park,Fuel Oil,City,Hold 2,,,,,,,,,IDh3uefsvuk607,,,,0,Northton,,empty
