Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,11L
TM,Train Manifest Description,Downtown Local
PRNTR,Printer Name,
VT,Valid,11/02/1938 11:58
TC,Train Comment,"Block: GD, Sand, Coal, Ash, Gantry",black
LN,Location Name,Train Service
DT,Departure Time,17:10
PC,Pick up car,NYC,0574,GB,40,sand,Generic,Train Service,OB-Downtown,Downtown,Sand,,,,,,,,,,,,,0,,,load
TD,Train Departs,Train Service,West
TL,Train Length Empties Cars,44,0,1
TW,Train Weight,0
LN,Location Name,Downtown
AT,Arrival Time,17:14
EDT,Estimated Departure Time,18:02
HOLD,Hold Car,PRR,0107,Bd,40,Express,Generic,Downtown,DX,,,,,,,,,,,,,,,0,,,load
HOLD,Hold Car,PRR,6485,CA,40,Express,Generic,Downtown,DX,,,,,,,,,,,,,,,0,,,load
PC,Pick up car,B&O,4601,HK,40,Empty,Generic,Downtown,Coal,City,Receiving 1,,,,,,,,,,,,,0,Northton,,empty
PC,Pick up car,P&R,2756,XM,40,LCL,Generic,Downtown,DX,City,Receiving 1,,,,,,,,,,,,,0,,,load
PC,Pick up car,P&R,1315,XM,40,LCL,Generic,Downtown,DX,City,Receiving 1,,,,,,,,,,,,,0,,,load
PC,Pick up car,PL,5884,XM,40,LCL,Generic,Downtown,DX,City,Receiving 1,,,,,,,,,,,,,0,,,load
PC,Pick up car,B&A,3657,GB,40,Empty,Generic,Downtown,Gantry Crane,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,ER,5365,GB,40,Empty,Generic,Downtown,Gantry Crane,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,CNJ,2995,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,PRR,6999,FM,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,CS,5997,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,AT&SF,9192,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
PC,Pick up car,SP,7403,GB,40,Empty,Generic,Downtown,General Delivery,City,Receiving 1,,,,,,,,,,,,,0,,,empty
