Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,12Y
TM,Train Manifest Description,Build Park Local
PRNTR,Printer Name,
VT,Valid,12/11/1938 22:48
TC,Train Comment,"Block: PD, PGD, PFO, PC, PP, PL, PF",black
LN,Location Name,City
DT,Departure Time,13:30
PC,Pick up car,UTLX,9520,TM,40,fuel,Generic,City,71,City,OB-Park,,,,,,,,,IDeuzvm9a02olu,,,,0,Park,Fuel Oil,load
PC,Pick up car,NYNH&H,3285,GB,40,Milled timber,Generic,City,71,City,OB-Park,,,,,,,,,ID3ifpgm2znvog,,,,0,Park,Lumber,load
PC,Pick up car,WJ&S,7368,GB,40,Milled timber,Generic,City,71,City,OB-Park,,,,,,,,,IDwrk6njveiy3m,,,,0,Park,Lumber,load
PC,Pick up car,TCX,2539,TM,40,fuel,Generic,City,71,City,OB-Park,,,,,,,,,IDh3uefsvuk607,,,,0,Park,Fuel Oil,load
PC,Pick up car,ACL,7510,XM,40,LCL,Generic,City,71,City,OB-Park,,,,,,,,,IDsljrro2hsprx,,,,0,Park,Depot,load
PC,Pick up car,CS,5642,XM,40,LCL,Generic,City,71,City,OB-Park,,,,,,,,,IDk2f6xopntka9,,,,0,Park,Depot,load
PC,Pick up car,B&O,6978,HK,40,coal2,Generic,City,71,City,OB-Park,,,,,,,,,IDnduvvjgzbq8t,,,,0,Park,Coal,load
PC,Pick up car,ER,9009,XM,40,LCL,Generic,City,71,City,OB-Park,,,,,,,,,IDjrvgsttgawta,,,,0,Park,Depot,load
PC,Pick up car,WCC,7193,HK,40,coal2,Generic,City,71,City,OB-Park,,,,,,,,,IDyl5olpmmicha,,,,0,Park,Coal,load
PC,Pick up car,PRR,3375,TM,40,fuel,Generic,City,71,City,OB-Park,,,,,,,,,IDvxv7jidpp4b6,,,,0,Park,Fuel Oil,load
PC,Pick up car,PL,4071,FM,40,Tarp3,Generic,City,71,City,OB-Park,,,,,,,,,IDzvyfmvovhxtu,,,,0,Park,General Delivery,load
PC,Pick up car,B&A,4384,XM,40,Merchandise,Generic,City,71,City,OB-Park,,,,,,,,,ID13u64kb81lrt,,,,0,Park,Freight House,load
