Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,35T
TM,Train Manifest Description,Summit Turn
PRNTR,Printer Name,
VT,Valid,12/16/2023 09:50
LN,Location Name,Train Service
DT,Departure Time,05:15
PL,Pick up loco,PRR,720,H9s,40,ESLF,,Train Service,Roundhouse,Train Service,Roundhouse,,,,,IDms4t4dupm2y7,
PC,Pick up car,PRR,119,NM,40,Occupied,Generic,Train Service,Cabin Track,Train Service,Cabin Track,,,,,,C,,,IDo2easw0xeyvn,,,,0,,,load
TD,Train Departs,Train Service,North
TL,Train Length Empties Cars,88,0,1
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,05:19
EDT,Estimated Departure Time,06:04
PC,Pick up car,P&R,1315,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,ID5ekmo58adyc0,,,,0,,,empty
PC,Pick up car,CS,5642,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDk2f6xopntka9,,,,0,,,empty
PC,Pick up car,ACL,7836,GB,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,ID9eeuh8nsiyac,,,,0,,,empty
PC,Pick up car,PL,7266,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDfehejjis2yf0,,,,0,,,empty
PC,Pick up car,PGCC,7590,HK,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDtl0gmzawdpny,,,,0,,,empty
PC,Pick up car,LV,7577,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDlc2gtbapxt4z,,,,0,,,empty
PC,Pick up car,NYNH&H,4979,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDze3czfooz3o9,,,,0,,,empty
PC,Pick up car,P&R,7136,HK,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,ID8nbptq9jr8s,,,,0,,,empty
PC,Pick up car,ACL,7510,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDsljrro2hsprx,,,,0,,,empty
PC,Pick up car,ER,9009,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDjrvgsttgawta,,,,0,,,empty
PC,Pick up car,ACL,0360,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDw7jthc5y9nja,,,,0,,,empty
PC,Pick up car,B&O,4021,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,ID1u9txz8055xh,,,,0,,,empty
PC,Pick up car,PL,5884,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDobj8bebl6qd1,,,,0,,,empty
PC,Pick up car,PRR,6115,HK,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDi4sy8v97rncb,,,,0,,,empty
PC,Pick up car,B&O,1107,HK,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDqods205cj5py,,,,0,,,empty
TD,Train Departs,City,North
TL,Train Length Empties Cars,748,0,16
TW,Train Weight,36
LN,Location Name,Summit
AT,Arrival Time,06:08
EDT,Estimated Departure Time,07:38
PC,Pick up car,NYC,9231,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDycacd6v3g0x4,,,,0,Downtown,General Delivery,load
PC,Pick up car,ACL,8139,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDhdf6kdlxl80g,,,,0,Downtown,General Delivery,load
PC,Pick up car,PGCC,0575,HK,40,coal2,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID9g89oq6lyxwy,,,,0,Downtown,Coal,load
PC,Pick up car,CS,1725,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID7hmg2rwb0tf,,,,0,Downtown,General Delivery,load
PC,Pick up car,B&O,0263,HK,40,coal2,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID2gky8p1ew33o,,,,0,Junction,Coal,load
PC,Pick up car,WJ&S,6707,XM,40,LCL,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID0i4uwk1169t8,,,,0,Park,Depot,load
PC,Pick up car,CNJ,9642,XM,40,LCL,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID8u8gbtfkgsu8,,,,0,Park,Depot,load
PC,Pick up car,PRR,4478,GB,40,Milled timber,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDaf7q7q3ecsb4,,,,0,Park,Lumber,load
PC,Pick up car,B&O,5953,HK,40,coal2,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDh9w4if91s04z,,,,0,Park,Coal,load
PC,Pick up car,CS,9474,XM,40,LCL,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDsqshrnrvr2t5,,,,0,Park,Depot,load
PC,Pick up car,M&P,1712,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDpy0vg68qlfec,,,,0,Park,General Delivery,load
PC,Pick up car,B&A,0591,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDocg7arxqckss,,,,0,Park,General Delivery,load
PC,Pick up car,PRR,0618,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID14zctfspa87p,,,,0,Park,General Delivery,load
PC,Pick up car,TCX,2904,TM,40,fuel,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID18xm2bglncw,,,,0,Park,Fuel Oil,load
PC,Pick up car,P&R,7172,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDigpjq5sqzufo,,,,0,Park,General Delivery,load
SC,Set out car,P&R,1315,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,ID5ekmo58adyc0,,,,0,,,empty
SC,Set out car,CS,5642,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDk2f6xopntka9,,,,0,,,empty
SC,Set out car,ACL,7836,GB,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,ID9eeuh8nsiyac,,,,0,,,empty
SC,Set out car,PL,7266,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDfehejjis2yf0,,,,0,,,empty
SC,Set out car,PGCC,7590,HK,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDtl0gmzawdpny,,,,0,,,empty
SC,Set out car,LV,7577,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDlc2gtbapxt4z,,,,0,,,empty
SC,Set out car,NYNH&H,4979,XM,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,IDze3czfooz3o9,,,,0,,,empty
SC,Set out car,P&R,7136,HK,40,Empty,Generic,City,OB-Summit,Summit,S1,,,,,,,,,ID8nbptq9jr8s,,,,0,,,empty
SC,Set out car,ACL,7510,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDsljrro2hsprx,,,,0,,,empty
SC,Set out car,ER,9009,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDjrvgsttgawta,,,,0,,,empty
SC,Set out car,ACL,0360,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDw7jthc5y9nja,,,,0,,,empty
SC,Set out car,B&O,4021,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,ID1u9txz8055xh,,,,0,,,empty
SC,Set out car,PL,5884,XM,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDobj8bebl6qd1,,,,0,,,empty
SC,Set out car,PRR,6115,HK,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDi4sy8v97rncb,,,,0,,,empty
SC,Set out car,B&O,1107,HK,40,Empty,Generic,City,OB-Summit,Summit,S2,,,,,,,,,IDqods205cj5py,,,,0,,,empty
TD,Train Departs,Summit,North
TL,Train Length Empties Cars,748,0,16
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,07:42
EDT,Estimated Departure Time,08:27
SC,Set out car,NYC,9231,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDycacd6v3g0x4,,,,0,Downtown,General Delivery,load
SC,Set out car,ACL,8139,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDhdf6kdlxl80g,,,,0,Downtown,General Delivery,load
SC,Set out car,PGCC,0575,HK,40,coal2,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID9g89oq6lyxwy,,,,0,Downtown,Coal,load
SC,Set out car,CS,1725,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID7hmg2rwb0tf,,,,0,Downtown,General Delivery,load
SC,Set out car,B&O,0263,HK,40,coal2,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID2gky8p1ew33o,,,,0,Junction,Coal,load
SC,Set out car,WJ&S,6707,XM,40,LCL,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID0i4uwk1169t8,,,,0,Park,Depot,load
SC,Set out car,CNJ,9642,XM,40,LCL,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID8u8gbtfkgsu8,,,,0,Park,Depot,load
SC,Set out car,PRR,4478,GB,40,Milled timber,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDaf7q7q3ecsb4,,,,0,Park,Lumber,load
SC,Set out car,B&O,5953,HK,40,coal2,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDh9w4if91s04z,,,,0,Park,Coal,load
SC,Set out car,CS,9474,XM,40,LCL,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDsqshrnrvr2t5,,,,0,Park,Depot,load
SC,Set out car,M&P,1712,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDpy0vg68qlfec,,,,0,Park,General Delivery,load
SC,Set out car,B&A,0591,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDocg7arxqckss,,,,0,Park,General Delivery,load
SC,Set out car,PRR,0618,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID14zctfspa87p,,,,0,Park,General Delivery,load
SC,Set out car,TCX,2904,TM,40,fuel,Generic,Summit,S2,City,Hold 2,,,,,,,,,ID18xm2bglncw,,,,0,Park,Fuel Oil,load
SC,Set out car,P&R,7172,XM,40,Merchandise,Generic,Summit,S2,City,Hold 2,,,,,,,,,IDigpjq5sqzufo,,,,0,Park,General Delivery,load
TD,Train Departs,City,East
TL,Train Length Empties Cars,88,0,1
TW,Train Weight,36
LN,Location Name,Train Service
AT,Arrival Time,08:31
EDT,Estimated Departure Time,08:34
SL,Set out loco,PRR,720,H9s,40,ESLF,,Train Service,Roundhouse,Train Service,Roundhouse,,,,,IDms4t4dupm2y7,
SC,Set out car,PRR,119,NM,40,Occupied,Generic,Train Service,Cabin Track,Train Service,Cabin Track,,,,,,C,,,IDo2easw0xeyvn,,,,0,,,load
TT,Train Terminates,Train Service
