Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,33Y
TM,Train Manifest Description,Build Valley Turn
PRNTR,Printer Name,
VT,Valid,12/12/1938 09:13
TC,Train Comment,"Block: VP, VGD, VC, VD, JC, JS, JD",black
LN,Location Name,Downtown
DT,Departure Time,13:15
PC,Pick up car,FGEX,9586,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDv1wq1cfvnk4a,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,0775,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,ID5hsqgn36j9my,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2300,RS,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,ID4ln8kzuc6877,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2420,RS,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDsptgk3fh144m,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2534,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDhnk8dtlbhkhy,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2746,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDqdgfpxfowi9d,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,2851,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDruua2j4dp5c4,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,3251,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDoy6613zn1xio,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,6135,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,ID8fh29qr2osqc,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,8387,RS,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDh3v6ivoh1x1o,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,9060,RS,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDupn67kvttdm0,,,,0,Valley,Produce,load
PC,Pick up car,FGEX,9138,RB,40,Iced,Generic,Downtown,Ice,City,OB-Valley,,R6,,,,,,,IDfl6k2va0sr8a,,,,0,Valley,Produce,load
TD,Train Departs,Downtown,East
TL,Train Length Empties Cars,528,0,12
TW,Train Weight,0
LN,Location Name,City
AT,Arrival Time,13:19
EDT,Estimated Departure Time,14:49
PC,Pick up car,B&A,1434,XM,40,LCL,Generic,City,74,City,OB-Valley,,,,,,,,,IDg7y5wlzn92ig,,,,0,Junction,Depot,load
PC,Pick up car,WJ&S,3565,XM,40,Empty,Generic,City,74,City,OB-Valley,,,,,,,,,IDkl56e079tvnx,,,,0,Junction,Steel Products,empty
PC,Pick up car,SP,2604,XM,40,LCL,Generic,City,74,City,OB-Valley,,,,,,,,,IDcnl1flxniaxc,,,,0,Junction,Depot,load
