Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,xyz
TM,Train Manifest Description,
PRNTR,Printer Name,
VT,Valid,12/16/2023 09:30
LN,Location Name,Overton
DT,Departure Time,02:35
PC,Pick up car,NYC,9231,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDycacd6v3g0x4,,,,0,Downtown,General Delivery,load
PC,Pick up car,ACL,8139,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDhdf6kdlxl80g,,,,0,Downtown,General Delivery,load
PC,Pick up car,PGCC,0575,HK,40,coal2,Generic,Overton,O1,Summit,S2,,,,,,,,,ID9g89oq6lyxwy,,,,0,Downtown,Coal,load
PC,Pick up car,CS,1725,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,ID7hmg2rwb0tf,,,,0,Downtown,General Delivery,load
PC,Pick up car,B&O,0263,HK,40,coal2,Generic,Overton,O1,Summit,S2,,,,,,,,,ID2gky8p1ew33o,,,,0,Junction,Coal,load
PC,Pick up car,WJ&S,6707,XM,40,LCL,Generic,Overton,O1,Summit,S2,,,,,,,,,ID0i4uwk1169t8,,,,0,Park,Depot,load
PC,Pick up car,CNJ,9642,XM,40,LCL,Generic,Overton,O1,Summit,S2,,,,,,,,,ID8u8gbtfkgsu8,,,,0,Park,Depot,load
PC,Pick up car,PRR,4478,GB,40,Milled timber,Generic,Overton,O1,Summit,S2,,,,,,,,,IDaf7q7q3ecsb4,,,,0,Park,Lumber,load
PC,Pick up car,B&O,5953,HK,40,coal2,Generic,Overton,O1,Summit,S2,,,,,,,,,IDh9w4if91s04z,,,,0,Park,Coal,load
PC,Pick up car,CS,9474,XM,40,LCL,Generic,Overton,O1,Summit,S2,,,,,,,,,IDsqshrnrvr2t5,,,,0,Park,Depot,load
PC,Pick up car,M&P,1712,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDpy0vg68qlfec,,,,0,Park,General Delivery,load
PC,Pick up car,B&A,0591,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDocg7arxqckss,,,,0,Park,General Delivery,load
PC,Pick up car,PRR,0618,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,ID14zctfspa87p,,,,0,Park,General Delivery,load
PC,Pick up car,TCX,2904,TM,40,fuel,Generic,Overton,O1,Summit,S2,,,,,,,,,ID18xm2bglncw,,,,0,Park,Fuel Oil,load
PC,Pick up car,P&R,7172,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDigpjq5sqzufo,,,,0,Park,General Delivery,load
TD,Train Departs,Overton,South
TL,Train Length Empties Cars,660,0,15
TW,Train Weight,0
LN,Location Name,Summit
AT,Arrival Time,02:39
EDT,Estimated Departure Time,03:24
SC,Set out car,NYC,9231,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDycacd6v3g0x4,,,,0,Downtown,General Delivery,load
SC,Set out car,ACL,8139,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDhdf6kdlxl80g,,,,0,Downtown,General Delivery,load
SC,Set out car,PGCC,0575,HK,40,coal2,Generic,Overton,O1,Summit,S2,,,,,,,,,ID9g89oq6lyxwy,,,,0,Downtown,Coal,load
SC,Set out car,CS,1725,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,ID7hmg2rwb0tf,,,,0,Downtown,General Delivery,load
SC,Set out car,B&O,0263,HK,40,coal2,Generic,Overton,O1,Summit,S2,,,,,,,,,ID2gky8p1ew33o,,,,0,Junction,Coal,load
SC,Set out car,WJ&S,6707,XM,40,LCL,Generic,Overton,O1,Summit,S2,,,,,,,,,ID0i4uwk1169t8,,,,0,Park,Depot,load
SC,Set out car,CNJ,9642,XM,40,LCL,Generic,Overton,O1,Summit,S2,,,,,,,,,ID8u8gbtfkgsu8,,,,0,Park,Depot,load
SC,Set out car,PRR,4478,GB,40,Milled timber,Generic,Overton,O1,Summit,S2,,,,,,,,,IDaf7q7q3ecsb4,,,,0,Park,Lumber,load
SC,Set out car,B&O,5953,HK,40,coal2,Generic,Overton,O1,Summit,S2,,,,,,,,,IDh9w4if91s04z,,,,0,Park,Coal,load
SC,Set out car,CS,9474,XM,40,LCL,Generic,Overton,O1,Summit,S2,,,,,,,,,IDsqshrnrvr2t5,,,,0,Park,Depot,load
SC,Set out car,M&P,1712,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDpy0vg68qlfec,,,,0,Park,General Delivery,load
SC,Set out car,B&A,0591,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDocg7arxqckss,,,,0,Park,General Delivery,load
SC,Set out car,PRR,0618,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,ID14zctfspa87p,,,,0,Park,General Delivery,load
SC,Set out car,TCX,2904,TM,40,fuel,Generic,Overton,O1,Summit,S2,,,,,,,,,ID18xm2bglncw,,,,0,Park,Fuel Oil,load
SC,Set out car,P&R,7172,XM,40,Merchandise,Generic,Overton,O1,Summit,S2,,,,,,,,,IDigpjq5sqzufo,,,,0,Park,General Delivery,load
TT,Train Terminates,Summit
