Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,68M
TM,Train Manifest Description,Northton Hauler
PRNTR,Printer Name,
VT,Valid,12/11/1938 10:16
LN,Location Name,Train Service
DT,Departure Time,04:05
PL,Pick up loco,PRR,486,p5b,40,EEHF,,Train Service,Car Barn,Northton,N2,,,,,IDrjvz2z7m24kp,
PL,Pick up loco,PRR,410,p5b,40,EEHF,,Train Service,Car Barn,Northton,N2,,,,,IDzfd0dafmzj3t,
PC,Pick up car,PRR,540,NE,40,E,Generic,Train Service,Cabin Track,Northton,N2,,,,,,C,,,IDh37gb9nspp48,,,,0,,,Empty
TD,Train Departs,Train Service,East
TL,Train Length Empties Cars,132,1,1
TW,Train Weight,36
LN,Location Name,City
AT,Arrival Time,04:09
EDT,Estimated Departure Time,05:39
PC,Pick up car,UTLX,7837,TM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDav9xozn7xs0m,,,,0,,,empty
PC,Pick up car,TCX,0510,TM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID0zburxqnj9rj,,,,0,,,empty
PC,Pick up car,PRR,4961,FM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID1l1d5mmjfnuq,,,,0,,,empty
PC,Pick up car,NYNH&H,0540,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDg402cq00mwc0,,,,0,,,empty
PC,Pick up car,PL,2128,FM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDsjmozpnyvo9r,,,,0,,,empty
PC,Pick up car,CS,3576,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDzdvotguqei40,,,,0,,,empty
PC,Pick up car,PL,2120,GB,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDuko4kgpasf6j,,,,0,,,empty
PC,Pick up car,PRR,5992,GB,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDi3bvh3o4l20e,,,,0,,,empty
PC,Pick up car,PGCC,5648,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDa6iqcxz32ogk,,,,0,,,empty
PC,Pick up car,ER,2798,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID3tlsfhu79m5h,,,,0,,,empty
PC,Pick up car,DL&W,7977,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDtg8duhmemrsy,,,,0,,,empty
PC,Pick up car,B&A,2789,FM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDntvhvpwj9i11,,,,0,,,empty
PC,Pick up car,PRR,6262,GB,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID8r1ikey8o2g6,,,,0,,,empty
PC,Pick up car,PRR,7333,GB,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID9u5teexmp9u2,,,,0,,,empty
PC,Pick up car,B&O,3502,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID10bvds002pz8,,,,0,,,empty
PC,Pick up car,M&P,5577,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDfoptm5gaur96,,,,0,,,empty
PC,Pick up car,PRR,7291,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDgztbxdxu9om8,,,,0,,,empty
PC,Pick up car,WJ&S,3080,XM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID3usuapsgqwcf,,,,0,,,empty
PC,Pick up car,TCX,1116,TM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDv54ph7t8p25u,,,,0,,,empty
PC,Pick up car,B&A,5607,GB,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDfjsdgb2h38ly,,,,0,,,empty
PC,Pick up car,UTLX,1758,TM,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID9rp82h8cqfy,,,,0,,,empty
PC,Pick up car,PGCC,7590,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDtl0gmzawdpny,,,,0,,,empty
PC,Pick up car,PGCC,1635,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDz0ppd39jt9yj,,,,0,,,empty
PC,Pick up car,P&R,1166,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID9k0uz2a2nyy,,,,0,,,empty
PC,Pick up car,B&O,8996,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDpllsmgwgyy76,,,,0,,,empty
PC,Pick up car,PRR,6115,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDi4sy8v97rncb,,,,0,,,empty
PC,Pick up car,PGCC,3336,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDgjmbudbdxymw,,,,0,,,empty
PC,Pick up car,P&R,7136,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,ID8nbptq9jr8s,,,,0,,,empty
PC,Pick up car,B&O,8552,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDu1re9eemwpjl,,,,0,,,empty
PC,Pick up car,B&O,1107,HK,40,Empty,Generic,City,OB-Northton,Northton,N2,,,,,,,,,IDqods205cj5py,,,,0,,,empty
TD,Train Departs,City,East
TL,Train Length Empties Cars,1452,1,31
TW,Train Weight,36
