Operator,Description,Parameters
RN,Railroad Name,Doodle 18g
TN,Train Name,32B
TM,Train Manifest Description,Spot reefers and LCL
PRNTR,Printer Name,
VT,Valid,12/12/1938 10:36
LN,Location Name,City
DT,Departure Time,14:15
PC,Pick up car,FGEX,0914,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID0fxvppaunanu,,,,0,,,load
PC,Pick up car,FGEX,0464,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDa2fuil86tuft,,,,0,,,load
PC,Pick up car,FGEX,2108,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDu6yn6w9q3iv9,,,,0,,,load
PC,Pick up car,FGEX,2140,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDv9m4n1iyc0rh,,,,0,,,load
PC,Pick up car,FGEX,2504,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID6zdlsfunznpu,,,,0,,,load
PC,Pick up car,FGEX,3250,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDcti55dmxu09p,,,,0,,,load
PC,Pick up car,FGEX,4784,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDjh4w2z9zw5w5,,,,0,,,load
PC,Pick up car,FGEX,6112,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDvjr7m6e2uy97,,,,0,,,load
PC,Pick up car,FGEX,6669,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDcry6gh18yabo,,,,0,,,load
PC,Pick up car,FGEX,6983,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID20krd12o0wa,,,,0,,,load
PC,Pick up car,FGEX,7836,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID1d2xl9m4ws4,,,,0,,,load
PC,Pick up car,FGEX,9054,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDrlktkfjjg5xa,,,,0,,,load
HOLD,Hold Car,CS,1705,GB,40,Empty,Generic,City,Hold 2,,,,,,,,,,,IDthnbnnt2bx6p,,,,0,Easton,,empty
HOLD,Hold Car,CS,3014,XM,40,Empty,Generic,City,Hold 2,,,,,,,,,,,IDd8s2jzzs25z8,,,,0,Easton,,empty
HOLD,Hold Car,NYC,4619,XM,40,Empty,Generic,City,Hold 2,,,,,,,,,,,IDqo2ynhj3pd4m,,,,0,Easton,,empty
HOLD,Hold Car,B&O,6073,HK,40,Empty,Generic,City,Hold 2,,,,,,,,,,,ID0z9q371a7y6d,,,,0,Northton,,empty
HOLD,Hold Car,PRR,6446,HK,40,Empty,Generic,City,Hold 2,,,,,,,,,,,IDy08rdw284q98,,,,0,Northton,,empty
HOLD,Hold Car,B&O,7676,HK,40,Empty,Generic,City,Hold 2,,,,,,,,,,,IDvjxpuh3qxcxh,,,,0,Northton,,empty
TD,Train Departs,City,East
TL,Train Length Empties Cars,528,0,12
TW,Train Weight,0
LN,Location Name,Downtown
AT,Arrival Time,14:19
EDT,Estimated Departure Time,14:55
SC,Set out car,FGEX,0914,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID0fxvppaunanu,,,,0,,,load
SC,Set out car,FGEX,0464,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDa2fuil86tuft,,,,0,,,load
SC,Set out car,FGEX,2108,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDu6yn6w9q3iv9,,,,0,,,load
SC,Set out car,FGEX,2140,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDv9m4n1iyc0rh,,,,0,,,load
SC,Set out car,FGEX,2504,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID6zdlsfunznpu,,,,0,,,load
SC,Set out car,FGEX,3250,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDcti55dmxu09p,,,,0,,,load
SC,Set out car,FGEX,4784,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDjh4w2z9zw5w5,,,,0,,,load
SC,Set out car,FGEX,6112,RS,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDvjr7m6e2uy97,,,,0,,,load
SC,Set out car,FGEX,6669,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDcry6gh18yabo,,,,0,,,load
SC,Set out car,FGEX,6983,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID20krd12o0wa,,,,0,,,load
SC,Set out car,FGEX,7836,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,ID1d2xl9m4ws4,,,,0,,,load
SC,Set out car,FGEX,9054,RB,40,Produce,Generic,City,Hold 2,Downtown,Ice,,R4,,,,,,,IDrlktkfjjg5xa,,,,0,,,load
TT,Train Terminates,Downtown
